Dates,BD
8/31/90,1208
9/28/90,1168
10/31/90,1309
11/30/90,1348
12/31/90,1446
1/31/91,1473
2/28/91,1704
3/29/91,1609
4/30/91,1626
5/31/91,1757
6/28/91,1703
7/31/91,1466
8/30/91,1545
9/30/91,1524
10/31/91,1655
11/29/91,1589
12/31/91,1494
1/31/92,1430
2/28/92,1222
3/31/92,1180
4/30/92,1216
5/29/92,1267
6/30/92,1091
7/31/92,1060
8/31/92,1073
9/30/92,1041
10/30/92,1111
11/30/92,1320
12/31/92,1373
1/29/93,1278
2/26/93,1373
3/31/93,1503
4/30/93,1554
5/31/93,1623
6/30/93,1473
7/30/93,1339
8/31/93,1434
9/30/93,1415
10/29/93,1317
11/30/93,1253
12/31/93,1215
1/31/94,1200
2/28/94,1117
3/31/94,1206
4/29/94,1414
5/31/94,1458
6/30/94,1334
7/29/94,1440
8/31/94,1436
9/30/94,1656
10/31/94,1870
11/30/94,1932
12/30/94,1965
1/31/95,1973
2/28/95,2038
3/31/95,2209
4/28/95,2347
5/31/95,2096
6/30/95,1979
7/31/95,2025
8/31/95,2102
9/29/95,1920
10/31/95,1547
11/30/95,1644
12/29/95,1604
1/31/96,1503
2/29/96,1364
3/29/96,1448
4/30/96,1458
5/31/96,1339
6/28/96,1193
7/31/96,1066
8/30/96,1100
9/30/96,1000
10/31/96,1311
11/29/96,1423
12/31/96,1516
1/31/97,1367
2/28/97,1443
3/31/97,1513
4/30/97,1259
5/30/97,1274
6/30/97,1320
7/31/97,1280
8/29/97,1330
9/30/97,1277
10/31/97,1318
11/28/97,1175
12/31/97,1231
1/30/98,1039
2/27/98,1080
3/31/98,966
4/30/98,1004
5/29/98,946
6/30/98,856
7/31/98,825
8/31/98,817
9/30/98,946
10/30/98,955
11/30/98,941
12/31/98,794
1/29/99,827
2/26/99,964
3/31/99,902
4/30/99,1091
5/31/99,982
6/30/99,970
7/30/99,1003
8/31/99,1038
9/30/99,1243
10/29/99,1351
11/30/99,1351
12/31/99,1319
1/31/00,1319
2/29/00,1531
3/31/00,1660
4/28/00,1628
5/31/00,1566
6/30/00,1616
7/31/00,1642
8/31/00,1652
9/29/00,1739
10/31/00,1759
11/30/00,1672
12/29/00,1599
1/31/01,1504
2/28/01,1537
3/30/01,1438
4/30/01,1459
5/31/01,1389
6/29/01,1386
7/31/01,1049
8/31/01,927
9/28/01,952
10/31/01,861
11/30/01,868
12/31/01,876
1/31/02,908
2/28/02,1031
3/29/02,1082
4/30/02,1027
5/31/02,1042
6/28/02,1005
7/31/02,968
8/30/02,1036
9/30/02,1367
10/31/02,1417
11/29/02,1560
12/31/02,1738
1/31/03,1530
2/28/03,1764
3/31/03,1939
4/30/03,2142
5/30/03,2127
6/30/03,2125
7/31/03,2181
8/29/03,2265
9/30/03,2993
10/31/03,4555
11/28/03,4417
12/31/03,4765
1/30/04,5551
2/27/04,5263
3/31/04,4822
4/30/04,3958
5/31/04,3286
6/30/04,3005
7/30/04,4048
8/31/04,4186
9/30/04,4105
10/29/04,4922
11/30/04,6051
12/31/04,4598
1/31/05,4488
2/28/05,4726
3/31/05,4637
4/29/05,3850
5/31/05,3219
6/30/05,2521
7/29/05,1804
8/31/05,2592
9/30/05,2907
10/31/05,3113
11/30/05,2770
12/30/05,2407
1/31/06,2081
2/28/06,2680
3/31/06,2496
4/28/06,2368
5/31/06,2436
6/30/06,2964
7/31/06,3285
8/31/06,3847
9/29/06,3944
10/31/06,4037
11/30/06,4336
12/29/06,4397
1/31/07,4225
2/28/07,4765
3/30/07,5388
4/30/07,6248
5/31/07,5971
6/29/07,6278
7/31/07,6967
8/31/07,7702
9/28/07,9474
10/31/07,10656
11/30/07,10210
12/31/07,9143
1/31/08,6052
2/29/08,7613
3/31/08,8081
4/30/08,9356
5/30/08,11440
6/30/08,9589
7/31/08,8341
8/29/08,6809
9/30/08,3217
10/31/08,851
11/28/08,715
12/31/08,774
1/30/09,1070
2/27/09,1986
3/31/09,1615
4/30/09,1786
5/29/09,3494
6/30/09,3757
7/31/09,3350
8/31/09,2421
9/30/09,2220
10/30/09,3103
11/30/09,3887
12/31/09,3005
1/29/10,2848
2/26/10,2738
3/31/10,2998
4/30/10,3354
5/31/10,4078
6/30/10,2406
7/30/10,1967
8/31/10,2713
9/30/10,2446
10/29/10,2678
11/30/10,2099
12/31/10,1773
1/31/11,1107
2/28/11,1251
3/31/11,1530
4/29/11,1269
5/31/11,1480
6/30/11,1413
7/29/11,1264
8/31/11,1619
9/30/11,1899
10/31/11,1965
11/30/11,1846
12/30/11,1738
1/31/12,680
2/29/12,750
3/30/12,934
4/30/12,1155
5/31/12,923
6/29/12,1004
7/31/12,897
8/31/12,703
9/28/12,766
10/31/12,1026
11/30/12,1086
12/31/12,699
1/31/13,760
2/28/13,757
3/29/13,910
4/30/13,863
5/31/13,809
6/28/13,1171
7/31/13,1062
8/30/13,1132
9/30/13,2003
10/31/13,1504
11/29/13,1821
12/31/13,2277
1/31/14,1110
2/28/14,1258
3/31/14,1362
4/30/14,943
5/30/14,934
6/30/14,850
7/31/14,755
8/29/14,1147
9/30/14,1063
10/31/14,1428
11/28/14,1153
12/31/14,782
1/30/15,608
2/27/15,540
3/31/15,602
4/30/15,591
5/29/15,589
6/30/15,800
7/31/15,1131
8/31/15,903
9/30/15,900
10/30/15,721
11/30/15,584
12/31/15,478
1/29/16,317
2/29/16,329
3/31/16,429
4/29/16,703
5/31/16,612
6/30/16,660
7/29/16,656
8/31/16,711
9/30/16,875
10/31/16,857
11/30/16,1204
12/30/16,961
1/31/17,800
2/28/17,859
3/31/17,1297
4/28/17,1109
5/31/17,878
6/30/17,901
7/31/17,946
8/31/17,1184
9/29/17,1356
10/31/17,1522
11/30/17,1578
12/29/17,1366
1/31/18,1152
2/28/18,1192
3/30/18,1055
4/30/18,1341
5/31/18,1090
6/29/18,1385
7/31/18,1747
8/31/18,1579
9/28/18,1540
10/31/18,1490
11/30/18,1231
12/31/18,1271
1/31/19,668
2/28/19,658
3/29/19,689
4/30/19,1011
5/31/19,1096
6/28/19,1354
7/31/19,1868
8/30/19,2378
9/30/19,1823
10/31/19,1731
11/29/19,1528
12/31/19,1090
1/31/20,487
2/28/20,535
3/31/20,626
4/30/20,635
5/29/20,504
6/30/20,1799
7/31/20,1350
8/31/20,1488
9/30/20,1725
10/30/20,1283
11/30/20,1227
12/31/20,1366
1/29/21,1452
2/26/21,1675
3/31/21,2046
4/30/21,3053
5/31/21,2596
6/30/21,3383
7/30/21,3292
8/31/21,4132
9/30/21,5167
10/29/21,3519
11/30/21,3018
12/31/21,2217
1/31/22,1418
2/28/22,2040
3/31/22,2358
4/29/22,2404